,0,1,2,3,4,5,6
1CMET2-PWY,3.214807547316485,0.2930102211778356,1.9033238613226466,1.328318487523021,0.3532155268915061,1.2543823318910061,0.08591580700353887
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0.0,0.12323897037601676,0.0,0.0,0.0,0.0,0.0
4-HYDROXYMANDELATE-DEGRADATION-PWY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7ALPHADEHYDROX-PWY,4.5850144399261e-06,0.0,0.0,0.0,0.0019055298551827631,0.0,0.002225268983499256
AEROBACTINSYN-PWY,0.0,0.03970848599934459,0.0,0.0,0.0,0.0,0.0
ALL-CHORISMATE-PWY,0.0,0.0041567045923259745,0.0,0.0,0.001136650613223121,0.0,0.0
ALLANTOINDEG-PWY,2.424134532261418e-07,0.032132197020375015,0.0025707077322860293,0.01208967052412469,0.0,0.0,0.01942437052505318
ANAEROFRUCAT-PWY,1.432303260336535,0.705986836782747,1.2911485219405878,0.9297065183262208,0.34984573853868833,5.362114380372707e-06,1.2894908163602532
ANAGLYCOLYSIS-PWY,1.9562225025077606,0.5945049061716117,2.4404833257116447,1.802937341437597,0.7973487836920815,0.3815247627163703,1.0869931258144772
ARG+POLYAMINE-SYN,0.4255371751115226,1.0992314951609894,1.3137990061520155e-11,0.0,0.0,0.014064217236318887,0.18359499520560868
ARGDEG-PWY,0.0,0.370674394076627,0.0,0.0,0.0,0.0,0.0
ARGININE-SYN4-PWY,0.06063578101925948,0.4247303614927357,2.9271007093237333,0.04181388214425114,0.0,0.1423750304382616,0.0
ARGORNPROST-PWY,0.05511759946560528,0.039491613238641705,0.0,0.003318391188492148,0.296443912106488,0.0,0.17725475515735364
ARGSYN-PWY,3.502107641837234,0.4747503384735685,0.0,1.8755149749799507,5.684066259472949e-10,6.308561083410285e-11,1.5578318140967722
ARGSYNBSUB-PWY,3.3235006690398716,0.47021481768565604,0.0,1.8967027149414506,5.082163120985105e-10,0.0,1.8650599657274332
ARO-PWY,3.488188775320465,0.39957778655002424,1.016266364546462,1.3324743195321291,0.5349432830644371,0.6150779446917749,1.6355669988151678
ASPASN-PWY,0.785689289437703,0.9449389872291571,1.412732277123676,0.3618730731082778,0.18127140673265535,2.9311645774185306,0.4752454725669724
AST-PWY,0.0,0.3593287129140618,0.0,0.0,0.0,0.0,0.0
BIOTIN-BIOSYNTHESIS-PWY,0.0007315359845318677,1.022616646427813,1.1951733282365433,0.12154336010154566,0.0,3.6893045809131197e-16,0.21453760832415003
BRANCHED-CHAIN-AA-SYN-PWY,3.08885048625997,0.7001101525256123,0.4701906835559401,2.6244281166552246,9.746047393283014e-08,3.510134379836271,0.9065245732594194
CALVIN-PWY,3.0177051031441344,0.9806795025798127,0.4388530022174196,0.4695430464147546,0.5154910295495382,0.9472878740410048,2.2529150809507317
CATECHOL-ORTHO-CLEAVAGE-PWY,0.0,0.0733400823125073,0.0,0.0,0.0018378415454526169,0.0,0.0
CENTFERM-PWY,0.16550770999346257,0.0,6.530435271594858e-12,0.0,0.0,0.0,0.4197110990815141
CHLOROPHYLL-SYN,0.0,0.0,0.0,0.0,0.0004051103444715225,0.0,0.0
CITRULBIO-PWY,0.2708699313099887,0.51345602766723,2.0963674807985444,0.06868504959626792,0.16556467333983774,0.0,1.4186269238858538e-10
COA-PWY,3.5520632552134495,0.04891137243359952,1.3706983689289352,0.9803863096709051,0.8182208801713793,1.1422121727821701,0.03180582549243114
COA-PWY-1,4.141936529246004,6.035144054703893e-05,1.463778613825707,2.109525837512435,0.8058332527772296,1.2341575511315526,6.965138670457409e-06
COBALSYN-PWY,0.5697583674139133,0.4845414482954103,0.8032729343736111,0.0,0.0,0.0,1.961096287112149
CODH-PWY,0.0,6.970236369629153e-05,0.0,4.942628632342266e-06,0.11773782040476417,0.0,0.0
COLANSYN-PWY,0.3433871280930027,0.5501200756157869,0.7192632176752772,1.1077221223726468e-11,0.0,0.0,0.6778341588017417
COMPLETE-ARO-PWY,3.228451387992631,0.4327749599791027,1.0565317974715567,1.3769846930646752,0.5512820278568289,0.85168552370196,1.480852949068409
CRNFORCAT-PWY,7.522140236144056e-06,0.007235066884758996,0.0,0.0,0.0,0.0,0.008914705549369214
DAPLYSINESYN-PWY,0.10462149467777326,0.9668297914857895,0.0,1.9366563582290037,0.03407084331754924,0.046905490908708485,0.4794441270352872
DENITRIFICATION-PWY,0.0,0.005870998909494234,0.0,0.0,0.022962869120604842,0.0,0.0
DENOVOPURINE2-PWY,1.6432452041017218,0.45110399478511776,1.9211481022118464,0.5793121106851198,1.0347760864857485,0.3633895421655218,6.749281467394774e-07
DHGLUCONATE-PYR-CAT-PWY,0.0,0.0031107357258048198,0.0,0.0,0.0,0.0,0.0
DTDPRHAMSYN-PWY,3.6379765003638047,0.0,2.3090734680030325,1.701635442334375,0.0,6.215205757883086,0.46236331562669153
ECASYN-PWY,0.0,0.22047104266982803,0.0,0.0,0.0,0.0,0.0
ENTBACSYN-PWY,0.0,0.791286237275721,0.0,0.0,0.0,0.0,0.0
FAO-PWY,0.006716232477911065,1.1716828984953855,0.07544894629174026,0.002608638900773061,0.0,0.0026433194582562926,0.18725748549275106
FASYN-ELONG-PWY,0.030947205252562206,1.4401506335123915,1.0967339897175576,0.6482111678272306,0.11409073962513337,5.035876297374092e-11,0.005290577334334419
FASYN-INITIAL-PWY,7.142547582129557e-05,1.2604470275259536,0.8223013655639001,0.5507555734522878,0.12604221561091636,0.0,0.05389397386213136
FERMENTATION-PWY,0.012178828591591487,1.0956733828896723,0.0,0.6697845052912444,0.01793024466602347,0.0035871480916837605,0.6008851553396513
FOLSYN-PWY,2.242126463104377e-15,0.3956359764522343,0.0026706773376132067,0.047707430872455575,0.48419008703012023,1.713835201686679e-10,0.42590253063598776
FUC-RHAMCAT-PWY,0.02262053258577791,0.6556518564382534,0.38418457464231054,0.0,0.0,0.0,0.2674874764698227
FUCCAT-PWY,0.056097439058010255,0.588071754512265,0.15283654657626128,0.0,0.0,0.0,0.2986160408306317
GALACT-GLUCUROCAT-PWY,0.4042474935425614,0.39485900782745226,0.399410705649515,0.0,0.0,0.0,0.22516047760372948
GALACTARDEG-PWY,7.219748309539523e-05,0.851258797236286,0.048685728378405034,0.0,0.0,0.0,0.019767668526325673
GALACTUROCAT-PWY,0.39670510834887673,0.43617950306639297,0.294091239454114,7.992954830775761e-11,0.0,0.0,0.21749083991712048
GALLATE-DEGRADATION-I-PWY,0.0,0.0,0.0,0.0,0.0022786578058152677,0.0,0.0
GALLATE-DEGRADATION-II-PWY,0.0,0.0,0.0,0.0,0.0034680311070957094,0.0,0.0
GLCMANNANAUT-PWY,0.349972843345376,0.646785139221958,0.31565175496530967,0.09634611220972768,0.19006595060365783,0.0,0.8143781525835124
GLUCARDEG-PWY,3.1814714544387416e-09,0.5593541415094623,0.015421976329983504,0.0,0.0,1.043856475037923e-12,0.01931308310422894
GLUCARGALACTSUPER-PWY,7.192864642958906e-05,0.8512588306339705,0.04868588725565015,0.0,0.0,0.0,0.01976809332259668
GLUCONEO-PWY,0.9953961541158651,0.8927165325265244,0.6612443342465766,0.26671897920243615,5.927096700339361e-07,0.2792819693292867,1.1908743844794392
GLUCOSE1PMETAB-PWY,1.5230068189534307e-06,0.7277451356599398,0.0044952751517750205,1.1461374162870492,0.0,0.0,0.0
GLUCUROCAT-PWY,0.47315843537553687,0.31656724611108317,0.5231218719203583,0.0,0.0,1.4043177000165238e-15,0.24973899465500313
GLUDEG-I-PWY,0.12012164681548408,0.21284392698909413,0.08220523655476021,0.0,0.0,0.0,5.835701485807673e-07
GLUDEG-II-PWY,0.0,0.0,0.0,0.0,0.002271113229669508,0.0,0.0
GLUTORN-PWY,2.5964573883875484,0.5067489525986527,0.0,1.6229929716899674,0.0,0.28347051867077455,1.8809197060561982
GLYCOCAT-PWY,0.00016038810337490079,0.8638505627251262,0.01649212394690987,1.8184233140795718,0.0,0.0,8.122494857220277e-14
GLYCOGENSYNTH-PWY,1.4042939815905242,0.6053465400362673,0.3428581886680102,1.5752525635151653,0.0,0.0,3.167392557137251
GLYCOL-GLYOXDEG-PWY,0.00010945808677901829,0.13289676235361797,0.0,0.0,0.0,0.0,0.0
GLYCOLYSIS,1.0679090238870388,0.9203455071286792,1.1832193092236467,1.1926085869519019,0.5858510202360563,0.32524079611582424,0.6323027734122736
GLYCOLYSIS-E-D,0.25985100150115087,0.8952788315185729,0.7169499626970693,0.1524143897995727,0.0,7.057037236464552e-16,0.4148698844919321
GLYCOLYSIS-TCA-GLYOX-BYPASS,0.0,1.2415745018509161,0.0,3.4695291303451384e-13,0.0,0.0,0.0
GLYOXYLATE-BYPASS,0.0022652763152334232,0.7024864223164515,1.596281830669088e-05,0.0,0.03276002552188982,0.002333554381277264,0.0
GOLPDLCAT-PWY,1.028519428456657e-07,0.24884319499334245,0.009594804494192569,0.0,0.008856566080480471,0.0005123163618341234,0.4256290246070795
HCAMHPDEG-PWY,0.0,0.262993333204513,0.0,0.0,0.0,0.0,0.0
HEME-BIOSYNTHESIS-II,0.000453257663354981,0.5386360308318402,0.04964811892791159,0.007752756171056537,0.341686004617471,0.0040677894543612566,3.0066902469917725e-05
HEMESYN2-PWY,0.022423591276103202,0.512348430831933,0.05285633555820068,2.34640487934097e-06,0.07252299741813441,0.01498959103615124,0.10741347587247004
HEXITOLDEGSUPER-PWY,0.13178071899056726,1.1006685320841558,0.22823969421651302,0.14968444783546728,0.18496196580855476,0.0,1.158687166090279
HISDEG-PWY,0.33359806031086386,0.16018484566242405,2.4045143352420624,0.0,0.16784118857294278,0.287141042417939,0.0
HISTSYN-PWY,2.7315619193626532,1.7548184414253757e-09,1.3220332559755723,1.838231618806342,0.0,2.5497419381573803,0.03385117826374665
HOMOSER-METSYN-PWY,6.846435770440693e-05,0.9305080908138127,0.07167874496036337,0.3485206843204332,0.33888403013660856,0.01885912187032023,0.7420323032430585
HSERMETANA-PWY,1.9734737259020714,0.003574870359315409,0.00010061342012741899,1.5595339927124934,0.14101505708060966,0.5519149936585149,1.3157595290457704
ILEUDEG-PWY,0.0,0.0,0.0,0.0,0.0151235934478034,0.0,0.0
ILEUSYN-PWY,4.072196983049915,0.8511371085534146,1.0098908183789927,2.818703116520446,0.0,3.5078686824735694,0.7823329877612855
KDO-NAGLIPASYN-PWY,0.0,0.1401722469177498,0.0,0.0,0.0,0.0,0.0
KETOGLUCONMET-PWY,0.0,0.46601027986181986,0.0,0.017071504831941912,0.008119357154193233,0.0,0.0
LACTOSECAT-PWY,0.0037966722419785046,0.00010539136627367459,0.0,0.26236506895114203,1.3487500376298407,0.0033857877698674856,0.6674252951182589
LEU-DEG2-PWY,0.0,0.0,0.0,0.0,0.0188312950749773,0.0,0.0
LIPASYN-PWY,0.0,0.0037215670605423136,0.0,0.0,0.0020297531837570135,0.0,0.0
LPSSYN-PWY,0.0,0.11955587582731245,0.0,0.0,0.0,0.0,0.0
LYSINE-AMINOAD-PWY,0.0,0.0,0.0,0.0,0.0005958267027354428,0.0,0.0
LYSINE-DEG1-PWY,0.0,0.0,0.0,1.9812560997386098e-05,0.0005851616389590122,0.0,0.0
MET-SAM-PWY,0.023716063041827565,1.1899247285773458,0.15482005940209548,0.5956840926318849,0.35339478615445546,0.0492433016882368,1.4607080157267651
METH-ACETATE-PWY,0.019096461692618787,0.0,0.008843297267243838,0.0,0.0,0.0,1.4297323229770822
METHANOGENESIS-PWY,0.0,0.0,0.0,0.0,0.0,0.0,0.07055785303336203
METHGLYUT-PWY,0.0,0.35688850762446467,0.09792867632314678,0.0015246031827157638,0.021831044715363273,0.0,0.02721223556993844
METHYLGALLATE-DEGRADATION-PWY,0.0,0.0,0.0,0.0,0.001793367914900572,0.0,0.0
METSYN-PWY,0.008301454063097995,1.207106312456818,0.15856218643388334,0.6139628647471659,0.403690533334441,0.04438448843937799,1.2980355109169759
NAD-BIOSYNTHESIS-II,2.1404388607618114e-05,0.33869156306767834,0.48176159544511993,0.020098581261739308,0.11971092682376762,3.3468020582218233e-12,0.06206335943934444
NADSYN-PWY,0.0,0.0,0.0,0.0,0.008644093759467094,0.0,0.0
NAGLIPASYN-PWY,0.027935677024845205,0.7319791591131455,1.217846811518511,0.0,0.0,0.0771647322943865,0.0
NONMEVIPP-PWY,0.0,0.0,0.0,3.2025287277492933,0.0,2.0382078859990707e-15,0.32733102057196617
