Superclass1	Superclass2	pathway
PWY-5532	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	nucleoside and nucleotide degradation (archaea)
PWY-5534	Degradation/Utilization/Assimilation	Hydrocarbon Degradation	propene degradation
PWY-561	Generation of Precursor Metabolites and Energy	NA	superpathway of glyoxylate cycle and fatty acid degradation
PWY-5647	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	2-nitrobenzoate degradation I
PWY-5651	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-5654	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate
PWY-5655	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-tryptophan degradation IX
PWY-5656	Biosynthesis	Metabolic Regulator Biosynthesis	mannosylglycerate biosynthesis I
PWY-5659	Biosynthesis	Carbohydrate Biosynthesis	GDP-mannose biosynthesis
PWY-5667	Biosynthesis	Fatty Acid and Lipid Biosynthesis	CDP-diacylglycerol biosynthesis I
PWY-5675	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	nitrate reduction V (assimilatory)
PWY-5676	Generation of Precursor Metabolites and Energy	Fermentation	acetyl-CoA fermentation to butanoate II
PWY-5677	Generation of Precursor Metabolites and Energy	Fermentation	succinate fermentation to butanoate
PWY-5686	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	UMP biosynthesis I
PWY-5690	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle II (plants and fungi)
PWY-5692	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	allantoin degradation to glyoxylate II
PWY-5695	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	inosine 5'-phosphate degradation
PWY-5705	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	allantoin degradation to glyoxylate III
PWY-5723	Generation of Precursor Metabolites and Energy	NA	Rubisco shunt
PWY-5724	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	superpathway of atrazine degradation
PWY-5741	Generation of Precursor Metabolites and Energy	NA	ethylmalonyl-CoA pathway
PWY-5747	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	2-methylcitrate cycle II
PWY-5751	Biosynthesis	Aromatic Compound Biosynthesis	phenylethanol biosynthesis
PWY-5754	Biosynthesis	Aromatic Compound Biosynthesis	4-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-5757	Biosynthesis	Secondary Metabolite Biosynthesis	fosfomycin biosynthesis
PWY-5791	Biosynthesis	Secondary Metabolite Biosynthesis	1,4-dihydroxy-2-naphthoate biosynthesis II (plants)
PWY-5823	Biosynthesis	Carbohydrate Biosynthesis	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis
PWY-5837	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	2-carboxy-1,4-naphthoquinol biosynthesis
PWY-5838	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-8 biosynthesis I
PWY-5840	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-7 biosynthesis
PWY-5845	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-9 biosynthesis
PWY-5850	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-6 biosynthesis
PWY-5855	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-7 biosynthesis (early decarboxylation)
PWY-5856	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-9 biosynthesis (early decarboxylation)
PWY-5857	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-10 biosynthesis (early decarboxylation)
PWY-5860	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of demethylmenaquinol-6 biosynthesis I
PWY-5861	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of demethylmenaquinol-8 biosynthesis I
PWY-5862	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of demethylmenaquinol-9 biosynthesis
PWY-5863	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of phylloquinol biosynthesis
PWY-5864	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of plastoquinol biosynthesis
PWY-5870	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-8 biosynthesis (late decarboxylation)
PWY-5871	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-9 biosynthesis (late decarboxylation)
PWY-5872	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-10 biosynthesis (late decarboxylation)
PWY-5873	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-7 biosynthesis (late decarboxylation)
PWY-5896	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-10 biosynthesis
PWY-5897	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-11 biosynthesis
PWY-5898	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-12 biosynthesis
PWY-5899	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-13 biosynthesis
PWY-5910	Biosynthesis	Polyprenyl Biosynthesis&&Secondary Metabolite Biosynthesis	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5913	Generation of Precursor Metabolites and Energy	TCA cycle	partial TCA cycle (obligate autotrophs)
PWY-5918	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Tetrapyrrole Biosynthesis	superpathway of heme b biosynthesis from glutamate
PWY-5920	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Tetrapyrrole Biosynthesis	superpathway of heme b biosynthesis from glycine
PWY-5941	Degradation/Utilization/Assimilation&&Glycan Pathways	Carbohydrate Degradation&&Polymeric Compound Degradation	glycogen degradation II
PWY-5971	Biosynthesis	Fatty Acid and Lipid Biosynthesis	palmitate biosynthesis (type II fatty acid synthase)
PWY-5973	Biosynthesis	Fatty Acid and Lipid Biosynthesis	cis-vaccenate biosynthesis
PWY-5989	Biosynthesis	Fatty Acid and Lipid Biosynthesis	stearate biosynthesis II (bacteria and plants)
PWY-5994	Biosynthesis	Fatty Acid and Lipid Biosynthesis	palmitate biosynthesis (type I fatty acid synthase)
PWY-6060	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	malonate degradation II (biotin-dependent)
PWY-6071	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation&&Aromatic Compound Degradation	superpathway of phenylethylamine degradation
PWY-6074	Biosynthesis	Fatty Acid and Lipid Biosynthesis	zymosterol biosynthesis
PWY-6075	Biosynthesis	Fatty Acid and Lipid Biosynthesis	ergosterol biosynthesis I
PWY-6098	Biosynthesis	Secondary Metabolite Biosynthesis	diploterol biosynthesis
PWY-6107	Degradation/Utilization/Assimilation	Aromatic Compound Degradation&&Chlorinated Compound Degradation	chlorosalicylate degradation
PWY-6113	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of mycolate biosynthesis
PWY-6121	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6122	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6123	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	inosine-5'-phosphate biosynthesis I
PWY-6124	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	inosine-5'-phosphate biosynthesis II
PWY-6125	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of guanosine nucleotides de novo biosynthesis II
PWY-6126	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of adenosine nucleotides de novo biosynthesis II
PWY-6138	Biosynthesis	Carbohydrate Biosynthesis	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)
PWY-6143	Biosynthesis	Carbohydrate Biosynthesis	CMP-pseudaminate biosynthesis
PWY-6145	Biosynthesis	Carbohydrate Biosynthesis	superpathway of CMP-sialic acids biosynthesis
PWY-6147	Biosynthesis	Other Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6148	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	tetrahydromethanopterin biosynthesis
PWY-6151	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	S-adenosyl-L-methionine salvage I
PWY-6163	Biosynthesis	Carboxylic Acid Biosynthesis	chorismate biosynthesis from 3-dehydroquinate
PWY-6165	Biosynthesis	Carboxylic Acid Biosynthesis	chorismate biosynthesis II (archaea)
PWY-6167	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	flavin biosynthesis II (archaea)
PWY-6168	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	flavin biosynthesis III (fungi)
PWY-6174	Biosynthesis	Secondary Metabolite Biosynthesis	mevalonate pathway II (haloarchaea)
PWY-6182	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	superpathway of salicylate degradation
PWY-6185	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	4-methylcatechol degradation (ortho cleavage)
PWY-621	Degradation/Utilization/Assimilation	Carbohydrate Degradation	sucrose degradation III (sucrose invertase)
PWY-6210	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	2-aminophenol degradation
PWY-6215	Degradation/Utilization/Assimilation	Aromatic Compound Degradation&&Chlorinated Compound Degradation	4-chlorobenzoate degradation
PWY-622	Biosynthesis	Carbohydrate Biosynthesis	starch biosynthesis
PWY-6263	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-8 biosynthesis II
PWY-6269	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of adenosylcobalamin salvage from cobinamide II
PWY-6270	Biosynthesis	Secondary Metabolite Biosynthesis	isoprene biosynthesis I
PWY-6277	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6281	Biosynthesis	Amino Acid Biosynthesis	L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-6282	Biosynthesis	Fatty Acid and Lipid Biosynthesis	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PWY-6284	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of unsaturated fatty acids biosynthesis (E. coli)
PWY-6285	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of fatty acids biosynthesis (E. coli)
PWY-6305	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	superpathway of putrescine biosynthesis
PWY-6307	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-tryptophan degradation X (mammalian, via tryptamine)
PWY-6309	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-tryptophan degradation XI (mammalian, via kynurenine)
PWY-6313	Degradation/Utilization/Assimilation	Hormone, Neurotransmitter, and Signaling Molecule Degradation	serotonin degradation
PWY-6317	Degradation/Utilization/Assimilation	Carbohydrate Degradation	D-galactose degradation I (Leloir pathway)
PWY-6318	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-phenylalanine degradation IV (mammalian, via side chain)
PWY-6339	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	syringate degradation
PWY-6342	Degradation/Utilization/Assimilation	Hormone, Neurotransmitter, and Signaling Molecule Degradation	noradrenaline and adrenaline degradation
PWY-6344	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Amino Acid Degradation&&Fermentation	L-arginine degradation XIV (oxidative Stickland reaction)
PWY-6349	Biosynthesis	Fatty Acid and Lipid Biosynthesis	CDP-archaeol biosynthesis
PWY-6350	Biosynthesis	Fatty Acid and Lipid Biosynthesis	archaetidylinositol biosynthesis
PWY-6351	Biosynthesis	Cyclitol Biosynthesis	D-myo-inositol (1,4,5)-trisphosphate biosynthesis
PWY-6352	Biosynthesis	Fatty Acid and Lipid Biosynthesis	3-phosphoinositide biosynthesis
PWY-6353	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	purine nucleotides degradation II (aerobic)
PWY-6358	Biosynthesis	Cyclitol Biosynthesis	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism
PWY-6362	Biosynthesis	Cyclitol Biosynthesis	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)
PWY-6367	Biosynthesis	Fatty Acid and Lipid Biosynthesis&&Cyclitol Biosynthesis	D-myo-inositol-5-phosphate metabolism
PWY-6368	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	3-phosphoinositide degradation
PWY-6371	Biosynthesis	Fatty Acid and Lipid Biosynthesis&&Cyclitol Biosynthesis	superpathway of inositol phosphate compounds
PWY-6383	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Polyprenyl Biosynthesis	mono-trans, poly-cis decaprenyl phosphate biosynthesis
PWY-6385	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan biosynthesis III (mycobacteria)
PWY-6386	Biosynthesis	Cell Structure Biosynthesis	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-6387	Biosynthesis	Cell Structure Biosynthesis	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
PWY-6396	Biosynthesis	Other Biosynthesis	superpathway of 2,3-butanediol biosynthesis
PWY-6397	Biosynthesis&&Glycan Pathways	Cell Structure Biosynthesis	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6415	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Carboxylic Acid Biosynthesis	L-ascorbate biosynthesis V (euglena, D-galacturonate pathway)
PWY-6433	Biosynthesis	Fatty Acid and Lipid Biosynthesis	hydroxylated fatty acid biosynthesis (plants)
PWY-6435	Biosynthesis	Aromatic Compound Biosynthesis	4-hydroxybenzoate biosynthesis III (plants)
PWY-6467	Biosynthesis	Cell Structure Biosynthesis	Kdo transfer to lipid IVA III (Chlamydia)
PWY-6470	Biosynthesis&&Detoxification	Cell Structure Biosynthesis&&Antibiotic Resistance	peptidoglycan biosynthesis V (&beta;-lactam resistance)
PWY-6471	Biosynthesis&&Detoxification	Cell Structure Biosynthesis&&Antibiotic Resistance	peptidoglycan biosynthesis IV (Enterococcus faecium)
PWY-6478	Biosynthesis	Carbohydrate Biosynthesis	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis
PWY-6486	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation&&Carbohydrate Degradation	D-galacturonate degradation II
PWY-6507	Degradation/Utilization/Assimilation	Carbohydrate Degradation	4-deoxy-L-threo-hex-4-enopyranuronate degradation
PWY-6519	Biosynthesis	Other Biosynthesis	8-amino-7-oxononanoate biosynthesis I
PWY-6524	Biosynthesis&&Glycan Pathways	Carbohydrate Biosynthesis	lychnose and isolychnose biosynthesis
PWY-6527	Degradation/Utilization/Assimilation	Carbohydrate Degradation	stachyose degradation
PWY-6531	Degradation/Utilization/Assimilation	Alcohol Degradation&&Carbohydrate Degradation	mannitol cycle
PWY-6538	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	caffeine degradation III (bacteria, via demethylation)
PWY-6545	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis III
PWY-6549	Biosynthesis	Lipid Biosynthesis	L-glutamine biosynthesis III
PWY-6554	Biosynthesis	Cyclitol Biosynthesis	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)
PWY-6555	Biosynthesis	Cyclitol Biosynthesis	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)
PWY-6557	Biosynthesis&&Macromolecule Modification	Carbohydrate Biosynthesis&&Protein Modification	glycosaminoglycan-protein linkage region biosynthesis
PWY-6558	Biosynthesis	Carbohydrate Biosynthesis	heparan sulfate biosynthesis (late stages)
PWY-6562	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	norspermidine biosynthesis
PWY-6564	Biosynthesis	Carbohydrate Biosynthesis	heparan sulfate biosynthesis
PWY-6565	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	superpathway of polyamine biosynthesis III
PWY-6569	Biosynthesis	Carbohydrate Biosynthesis	chondroitin sulfate biosynthesis
PWY-6571	Biosynthesis	Carbohydrate Biosynthesis	dermatan sulfate biosynthesis
PWY-6572	Degradation/Utilization/Assimilation	Carbohydrate Degradation&&Polymeric Compound Degradation	chondroitin sulfate degradation I (bacterial)
PWY-6588	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to acetone
PWY-6590	Generation of Precursor Metabolites and Energy	Fermentation	superpathway of Clostridium acetobutylicum acidogenic fermentation
PWY-6595	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	superpathway of guanosine nucleotides degradation (plants)
PWY-6596	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine nucleotides degradation I
PWY-6598	Biosynthesis	Fatty Acid and Lipid Biosynthesis	sciadonate biosynthesis
PWY-6606	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	guanosine nucleotides degradation II
PWY-6608	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	guanosine nucleotides degradation III
PWY-6609	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	adenine and adenosine salvage III
PWY-6612	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of tetrahydrofolate biosynthesis
PWY-6628	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-phenylalanine biosynthesis
PWY-6629	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-tryptophan biosynthesis
PWY-6630	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-tyrosine biosynthesis
PWY-6641	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	superpathway of sulfolactate degradation
PWY-6654	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	phosphopantothenate biosynthesis III (archaebacteria)
PWY-6660	Biosynthesis	Secondary Metabolite Biosynthesis	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis
PWY-6662	Biosynthesis	Secondary Metabolite Biosynthesis	superpathway of quinolone and alkylquinolone biosynthesis
PWY-6676	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	superpathway of sulfide oxidation (phototrophic sulfur bacteria)
PWY-6690	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
PWY-6700	Macromolecule Modification	Nucleic Acid Processing	queuosine biosynthesis I (de novo)
PWY-6703	Biosynthesis	Secondary Metabolite Biosynthesis	preQ0 biosynthesis
PWY-6708	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-8 biosynthesis (early decarboxylation)
PWY-6724	Degradation/Utilization/Assimilation&&Glycan Pathways	Carbohydrate Degradation&&Polymeric Compound Degradation	starch degradation II
PWY-6728	Generation of Precursor Metabolites and Energy	NA	methylaspartate cycle
PWY-6731	Degradation/Utilization/Assimilation	Carbohydrate Degradation&&Polymeric Compound Degradation	starch degradation III
PWY-6737	Degradation/Utilization/Assimilation	Carbohydrate Degradation&&Polymeric Compound Degradation	starch degradation V
PWY-6748	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Inorganic Nutrient Metabolism&&Respiration	nitrate reduction VII (denitrification)
PWY-6749	Biosynthesis	Carbohydrate Biosynthesis	CMP-legionaminate biosynthesis I
PWY-6760	Degradation/Utilization/Assimilation	Carbohydrate Degradation	D-xylose degradation III
PWY-6763	Biosynthesis	Aromatic Compound Biosynthesis	salicortin biosynthesis
PWY-6769	Degradation/Utilization/Assimilation&&Glycan Pathways	Carbohydrate Degradation&&Polymeric Compound Degradation	rhamnogalacturonan type I degradation I
PWY-6785	Generation of Precursor Metabolites and Energy	Hydrogen Production	hydrogen production VIII
PWY-6797	Biosynthesis	Other Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)
PWY-6803	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidylcholine acyl editing
PWY-6823	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	molybdopterin biosynthesis
PWY-6829	Macromolecule Modification	Nucleic Acid Processing	tRNA methylation (yeast)
PWY-6834	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	spermidine biosynthesis III
PWY-6837	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	fatty acid &beta;-oxidation V (unsaturated, odd number, di-isomerase-dependent)
PWY-6857	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	retinol biosynthesis
PWY-6859	Biosynthesis	Secondary Metabolite Biosynthesis	all-trans-farnesol biosynthesis
PWY-6861	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	the visual cycle I (vertebrates)
PWY-6863	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to hexanol (engineered)
PWY-6876	Generation of Precursor Metabolites and Energy	NA	isopropanol biosynthesis (engineered)
PWY-6883	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to butanol II (engineered)
PWY-6886	Generation of Precursor Metabolites and Energy	Fermentation	1-butanol autotrophic biosynthesis (engineered)
PWY-6891	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	thiazole component of thiamine diphosphate biosynthesis II
PWY-6892	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	thiazole component of thiamine diphosphate biosynthesis I
PWY-6895	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of thiamine diphosphate biosynthesis II
PWY-6897	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	thiamine diphosphate salvage II
PWY-6901	Degradation/Utilization/Assimilation	Carbohydrate Degradation	superpathway of glucose and xylose degradation
PWY-6906	Degradation/Utilization/Assimilation	Carbohydrate Degradation	chitin derivatives degradation
PWY-6936	Biosynthesis	Amino Acid Biosynthesis	seleno-amino acid biosynthesis (plants)
PWY-6942	Biosynthesis	Carbohydrate Biosynthesis	dTDP-D-desosamine biosynthesis
PWY-6948	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	sitosterol degradation to androstenedione
PWY-6953	Biosynthesis	Carbohydrate Biosynthesis	dTDP-3-acetamido-&alpha;-D-fucose biosynthesis
PWY-6957	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	mandelate degradation to acetyl-CoA
PWY-6969	Generation of Precursor Metabolites and Energy&&Degradation/Utilization/Assimilation	TCA cycle&&C1 Compound Utilization and Assimilation	TCA cycle V (2-oxoglutarate synthase)
PWY-6981	Biosynthesis&&Glycan Pathways	Carbohydrate Biosynthesis	chitin biosynthesis
PWY-6992	Degradation/Utilization/Assimilation	Carbohydrate Degradation	1,5-anhydrofructose degradation
PWY-7003	Generation of Precursor Metabolites and Energy	Fermentation	glycerol degradation to butanol
PWY-7007	Generation of Precursor Metabolites and Energy	NA	methyl ketone biosynthesis (engineered)
PWY-7013	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Alcohol Degradation&&Fermentation	(S)-propane-1,2-diol degradation
PWY-7031	Biosynthesis&&Macromolecule Modification&&Glycan Pathways	Carbohydrate Biosynthesis&&Protein Modification	protein N-glycosylation (bacterial)
PWY-7036	Biosynthesis	Fatty Acid and Lipid Biosynthesis	very long chain fatty acid biosynthesis II
PWY-7039	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidate metabolism, as a signaling molecule
PWY-7046	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	4-coumarate degradation (anaerobic)
PWY-7049	Biosynthesis	Fatty Acid and Lipid Biosynthesis	icosapentaenoate biosynthesis II (6-desaturase, mammals)
PWY-7053	Biosynthesis	Fatty Acid and Lipid Biosynthesis	docosahexaenoate biosynthesis I (lower eukaryotes)
PWY-7059	Biosynthesis	Secondary Metabolite Biosynthesis	fumigaclavine biosynthesis
PWY-7090	Biosynthesis	Carbohydrate Biosynthesis	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis
PWY-7094	Biosynthesis	Fatty Acid and Lipid Biosynthesis	fatty acid salvage
PWY-7111	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to isobutanol (engineered)
PWY-7112	Detoxification	NA	4-hydroxy-2-nonenal detoxification
PWY-7115	Generation of Precursor Metabolites and Energy	Photosynthesis	C4 photosynthetic carbon assimilation cycle, NAD-ME type
PWY-7117	Generation of Precursor Metabolites and Energy	Photosynthesis	C4 photosynthetic carbon assimilation cycle, PEPCK type
PWY-7118	Degradation/Utilization/Assimilation	Carbohydrate Degradation&&Polymeric Compound Degradation	chitin deacetylation
PWY-7124	Biosynthesis	Hormone, Neurotransmitter, and Signaling Molecule Biosynthesis	ethene biosynthesis V (engineered)
PWY-7159	Biosynthesis	Tetrapyrrole Biosynthesis&&Secondary Metabolite Biosynthesis	3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)
PWY-7165	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Carboxylic Acid Biosynthesis	L-ascorbate biosynthesis VIII (engineered pathway)
PWY-7184	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-7185	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	UTP and CTP dephosphorylation I
PWY-7187	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis II
PWY-7196	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine ribonucleosides salvage
PWY-7197	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotide phosphorylation
PWY-7198	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis IV
PWY-7199	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleosides salvage
PWY-7200	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine deoxyribonucleoside salvage
PWY-7204	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	pyridoxal 5'-phosphate salvage II (plants)
PWY-7208	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine nucleobases salvage
PWY-7209	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	superpathway of pyrimidine ribonucleosides degradation
PWY-7210	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-7211	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
PWY-7218	Biosynthesis	Storage Compound Biosynthesis	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)
PWY-7219	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	adenosine ribonucleotides de novo biosynthesis
PWY-722	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	nicotinate degradation I
PWY-7220	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	adenosine deoxyribonucleotides de novo biosynthesis II
PWY-7221	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	guanosine ribonucleotides de novo biosynthesis
PWY-7222	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	guanosine deoxyribonucleotides de novo biosynthesis II
