,0,1,2,3,4
Abiotrophia,1.8068592405966027e-06,8.529613253206097e-14,1.5530177540058746e-06,0.002305243689211365,5.367322792002358e-06
Absiella,0.0051082237632445295,0.0,0.0014507302601537249,0.0,0.014150442044422706
Acidaminococcus,0.5780349462738841,0.21354466613745657,0.0006577692200723733,2.61536643387964e-15,0.01282555548306027
Acidipropionibacterium,0.0,0.0,5.968395289222179e-06,0.0,1.157724203128661e-15
Acidovorax,0.0,0.0,0.0,0.0022919531185412135,0.0
Acinetobacter,0.0,0.0,4.611524797975129e-06,0.1181841780241322,0.0
Actinobaculum,0.0,0.0,0.005981845375983059,0.022027060332658926,7.720128118624173e-06
Actinomyces,1.1774118523730339e-14,0.0008580889610091106,0.1133115535116239,0.30599376395313016,0.01149920903415451
Actinotignum,3.1975869770966565e-05,0.0002406830112529073,0.0018751091540825304,0.0,1.777403724844423e-13
Adlercreutzia,0.0009548502868828188,0.00015223601520468076,0.008223273333555606,0.0,0.26054055867028575
Aeriscardovia,1.5034895214311742e-06,3.8721741558188245e-07,0.012700885857208629,0.0,2.4878425739086533e-07
Aerococcus,3.562604539128387e-05,0.003286564633790661,5.792350000768874e-07,4.568168568224896e-06,6.138366501018352e-16
Aeromonas,0.0,8.191406556695743e-12,0.0,0.039064989182147646,0.0
Agathobaculum,0.058590082310666945,0.05885599914399865,1.8692385007892468e-06,0.0,1.0920572941026927
Aggregatibacter,0.00035818342296638596,0.0004839466079166538,5.317056749439967e-14,0.017340066548427898,4.539816795627015e-05
Agitococcus,0.0,3.187433293007832e-06,0.0,4.6393597924935575e-06,0.0
Akkermansia,0.38825616748708064,5.234289801667881e-06,4.256220829896024e-05,0.0,5.622872050132191
Alcaligenes,0.0,0.0,0.0,0.0,0.0
Alistipes,9.7421698937752,0.10928340025388793,4.266862261570921e-15,0.0,3.5179189156962223
Alkalilimnicola,0.0,0.0,0.0,4.082423843736138e-07,0.0
Allisonella,0.004839937111422608,0.010438103843212681,0.00010347918766123649,0.0,0.005974812480650791
Alloprevotella,0.003967609857818957,0.001961050493620216,0.0,0.0022507476144298716,2.7100492521054788e-14
Alloscardovia,6.112330040405439e-15,0.006190677717661621,0.0018178279996340317,0.0033525583700872667,0.0018823589506725626
Anaerobiospirillum,0.00010162757848037091,0.030402065707229982,0.0,1.3625386715951532e-06,0.00039725495146640907
Anaerococcus,0.0,0.17931473912112003,0.00029047795489343204,0.07513691855736089,2.969451790771608e-14
Anaerocolumna,0.0,0.0,7.593918272692461e-05,5.383189708816683e-06,0.0
Anaerofilum,0.00025712016542317717,0.0,1.5168721255845114e-05,2.2830619228968804e-12,0.0005951932259014458
Anaerofustis,0.00015043067201125362,0.0,0.00019515608793138078,2.5620722032524222e-05,0.0014592613792993694
Anaeroglobus,0.004180813076944869,0.000713481931794242,0.0014796278553116178,0.026725763827685815,2.525090063937532e-06
Anaerolineaceae_unclassified,0.00012542928134494632,0.0,4.533318333378321e-08,6.418481386717738e-05,5.481352668282935e-12
Anaeromassilibacillus,0.010724152274363677,5.321582119848594e-13,1.0476160218262477e-09,0.0,0.07221484887683732
Anaerosporobacter,0.0,0.0,0.0011788349905890688,0.0010325132673969055,0.0
Anaerostipes,0.1839770946332041,0.004948203484677078,0.03621772657990528,0.0,5.19095044690442
Anaerotignum,0.06849847441070125,1.3106138862607568e-14,3.411344447137422e-05,0.0,0.02757618143890111
Anaerotruncus,0.18754642672138483,0.03679432371579788,3.042961633818744e-16,0.0,0.20979770025699238
Anoxybacillus,0.0,0.0,0.0,0.0,0.0
Aquamicrobium,0.0,4.5884707618511964e-06,0.0,0.0,0.0
Arcanobacterium,0.0,2.1175115868150852e-05,0.0,0.0,0.0
Arcobacter,0.0002490507016129965,1.963251964306047e-05,0.0,7.194709613661015e-05,8.259221817973057e-05
Arthrospira,0.0,0.0,0.0,0.0,9.153118708949545e-05
Asaccharobacter,0.0005730687118849156,8.909847041090522e-05,0.021574265598651828,0.0,0.35363302672653907
Atlantibacter,0.0,0.0,0.0,0.07548892873207035,0.0
Atopobium,5.611603768153565e-06,0.07867168355153392,0.001400108081447967,0.01575731126157613,0.0004648359569067682
Bacillus,4.282701605260174e-05,9.27132556241562e-05,0.00299452819354513,0.0022776216481663132,0.0011110771273989803
Bacteroidales_unclassified,0.00013520661781265498,1.5711483357452916e-08,1.4634960599165511e-05,0.0,2.468086665364629e-05
Bacteroides,83.34745312904052,0.0005732422650032718,5.111651787492587e-07,0.0,0.00037306144320556025
Bacteroidetes_unclassified,1.1020796371773921e-05,1.1114481738139342e-05,0.0,7.820081971298558e-09,3.21219151683555e-05
Barnesiella,1.7629512983792015,0.006779194493903629,0.0,0.0,0.7801139535132744
Bavariicoccus,7.852660881871262e-06,0.0,0.0009745372297817732,7.578045874084364e-08,0.0
Bifidobacterium,0.013084332454754738,0.007676836551926034,59.79719999802651,0.0,4.189031036222892e-05
Bilophila,0.11999127223352073,0.011052384151876782,0.0011387065207317353,0.0005740010967702616,0.03451743492332573
Blastocystis,3.369388525700057e-05,0.019011531793906775,0.0,0.0,0.025865650875270665
Blautia,0.8596565473144526,0.01598453855641812,1.8525014298205433,0.055941857258559956,9.989173467881644
Bordetella,0.0,0.0,0.0,0.0006413136778926876,0.0
Bosea,0.0,0.0,0.0,0.0,0.0
Brachybacterium,2.4712686078818484e-11,0.0,0.0,0.0,1.298833586952686e-06
Brachyspira,0.004588073937842602,0.1336476760864713,0.0,1.4127425577190496e-05,0.057228751999058435
Bradyrhizobium,0.0,0.01732394871373301,0.0,0.0,0.0
Brevibacillus,1.1952537244945056e-14,1.2252876062280642e-13,4.023279643254268e-05,0.0,2.671115858035372e-05
Brevibacterium,9.065409824676725e-07,0.0023081820270704568,0.0,0.0,4.340497066293706e-05
Brevundimonas,0.0,0.0,0.0,0.004942510261421595,0.0
Brochothrix,0.0,0.0,0.0,0.0,0.0
Burkholderia,0.0,0.0,0.0,4.2963481785967185e-06,0.0
Butyricicoccus,0.003668707604876362,0.0,4.1773178638205385e-06,0.010259618459763656,0.004881765541853056
Butyricimonas,0.2502019495574723,0.042552585759966614,0.0,0.0,0.03958299638985515
Butyrivibrio,1.7784896413675367e-12,0.6108082884987514,0.0,0.0,2.9060787196297158
Campylobacter,0.0007057267430943022,0.15321381431328107,0.0052950588655196595,0.0417644794429529,2.7386475669938444e-11
Candida,0.0,0.0,0.00123539771064345,0.08582912944805307,0.0
Candidatus_Gastranaerophilales_unclassified,0.006824592000484794,0.02347652385217156,0.0,0.0,0.0051546448301089355
Candidatus_Pelagibacter,0.0,1.1047331457267422e-06,0.0,0.0,7.562352741167938e-12
Candidatus_Stoquefichus,0.0079984550316975,0.0,0.0,0.0,0.01253309238643291
Capnocytophaga,0.0,0.00029963269841646304,0.0,5.61854511567161e-12,0.0
Cardiobacterium,1.7995147079855105e-06,0.0,0.0,0.000273526693682391,0.0
Carnobacterium,1.91706842860904e-12,3.892009841691388e-06,1.344794960637106e-05,8.655939724185643e-05,5.299559959515314e-05
Catabacter,0.0010457951922276344,0.0,0.0012974906976940938,1.5404183661130797e-13,0.003430556537427891
Catenibacterium,3.651729814559199e-11,0.26315333734636387,0.0013645776722394753,0.0,0.3282032052035225
Catonella,0.0,0.0,0.0,0.0,2.1099352402727312e-05
Caulobacter,0.0,0.0,0.0,0.004060340542083883,0.0
Cellulosilyticum,0.0002187093782276389,1.784491760283093e-14,5.066971273608382e-12,4.046220022056265e-05,0.000305681182052608
Centipeda,0.0,0.0,0.0,4.517596909036403e-06,0.0
Cetobacterium,0.0,0.00018270145695200454,0.0,0.02337963379531641,5.677539554947536e-05
Chelatococcus,0.0,0.0,0.0,0.0,0.0
Chlamydia,0.0,0.0,0.0,0.00026317645815294825,0.03854278879726658
Christensenella,0.0005845746684049533,0.0,0.0005137683631899437,0.0,0.006809569021108908
Chryseobacterium,3.5795731520278326e-15,2.744603074224242e-05,0.0,4.704913417934459e-05,0.0
Citrobacter,0.0,0.0,3.1669852532963005e-14,2.5834721225865898,0.0
Clavibacter,0.0,5.405245794281561e-05,1.059496899277019e-07,0.0,0.00018441137543253873
Cloacibacillus,0.004876554096281449,1.1758321007849977e-07,0.0,0.0,0.015047892982553554
Cloacibacterium,0.0,0.0,0.0,0.05505961455300955,0.0
Clostridiales_Family_XIII_Incertae_Sedis_unclassified,0.00023816198522083766,0.00030625690517856684,2.8049461411649426e-08,0.005867462017102126,0.0027579817072137347
Clostridiales_unclassified,0.0017987004839195438,0.034313677863518056,0.0,9.205689356725863e-09,0.1824555632262235
Clostridioides,0.0,0.0,0.0,0.42649598003687683,0.0
Clostridium,0.12101028410969542,0.20220624329570192,1.1833111556400202e-09,3.610517753191509,1.862872619845485
Collinsella,0.006230235881442896,0.2825846009819078,6.080292437967559,0.0,4.917866128889973
Comamonas,6.607829591809384e-12,0.03564660678054999,0.03182925866717891,1.5587209722470755e-06,0.03319986505363556
Coprobacillus,0.012546242569791881,3.858373489958627e-10,0.00453483936601269,0.03434247381027067,0.058919523501773194
Coprobacter,0.3197034434248096,1.888242008716694e-08,0.0,0.0,0.001749831450611135
Coprococcus,0.011917052773512422,0.24938228677589003,6.140239714827941e-12,0.0,6.1522768238735805
Corynebacterium,4.3986840793210546e-06,0.02049840148956335,0.0005996451039228441,0.0946727417887574,0.00013956498447883546
Criibacterium,7.676195682195352e-07,0.009202865214465067,0.0,5.693240179511505e-16,1.043194571062484e-06
Cronobacter,3.114890228150041e-08,0.0014663859391231952,0.001087112049413746,0.0015675645135099438,0.0
Cutibacterium,0.00022586685343879662,0.00029013769506996875,0.0061252906353043545,0.46371264711484905,1.8842688632890716e-14
Delftia,0.0,0.0,0.005833322566291267,0.0,0.0
Denitrobacterium,0.0,0.0,0.00039935162162087456,2.679848001726457e-06,0.0005676916464402267
Dermabacter,0.0,2.249116028327763e-05,4.269046531855299e-15,0.005362228488864512,0.0
Dermacoccus,0.0,3.852030721789483e-05,0.0,0.0,0.0
Desulfobulbus,0.0,7.028299743883445e-06,0.0,2.0146677536328963e-14,0.0
Desulfomicrobium,0.0,0.0,0.0,0.0,0.0
Desulfovibrio,0.030725065440310576,0.08928077231654975,5.686361078099743e-16,0.0,0.29100342022068915
Desulfovibrionaceae_unclassified,0.014318187618892052,0.014086843506800662,0.0,0.0,0.033155963099238885
Dialister,0.26920478469511216,0.5960993910594933,0.0014017687233835823,1.8500808404922166e-11,0.9871720271894963
Dickeya,2.7467914970023968e-06,0.0,6.284157981444459e-05,0.0,0.0
Dielma,0.016392741975021486,0.0,4.4251168850564055e-07,0.0,0.008542496754252223
Dolosigranulum,0.0,0.0,0.00026976244279559733,5.497448991803714e-05,0.0
Dorea,0.058201940839374224,0.15504903868028805,0.000711240908907477,0.0,5.474464243994709
Dysgonomonas,0.0,0.0,0.0003955042695604406,0.010016959230918157,0.004519144251855029
Eggerthella,0.018016606986597936,8.478846074052762e-09,0.36917867468954246,0.08023750510651129,0.28154151876977385
Eggerthia,2.7257735574902974e-14,4.920412396562272e-05,2.9167989331594784e-13,0.0002886901381581562,2.6823943965996482e-05
